"id","user","aviso","pedido","pedido_cliente","item","ordem","cliente","quant_a_fat","quant_fat","quant","entrega","data_saida","codprod","descricao","desenho","matriz","statuspv","statusav"
"8898","ANA GABRIELA",NULL,"2133","4515242598-70",NULL,"7106","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15972529-2","MANCAL DA FACA POS.2","10008515441","SIM","0","0"
"8899","ANA GABRIELA",NULL,"2133","4515242598-70",NULL,"7107","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15972529-3","MANCAL DA FACA POS.3","10008515441","SIM","0","0"
"8900","ANA GABRIELA",NULL,"2133","4515242598-70",NULL,"7108","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15972529-4","MANCAL DA FACA POS.4","10008515441","SIM","0","0"
"8901","ANA GABRIELA","053/24","2135","4515242598-90",NULL,"7100","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15971930","MANCAL DA FACA","10008514518","SIM","0","0"
"8902","ANA GABRIELA",NULL,"2135","4515242598-90",NULL,"7101","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15971930-1","MANCAL DA FACA POS.1","10008514518","SIM","0","0"
"8903","ANA GABRIELA",NULL,"2135","4515242598-90",NULL,"7102","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15971930-2","MANCAL DA FACA POS.2","10008514518","SIM","0","0"
"8904","ANA GABRIELA",NULL,"2135","4515242598-90",NULL,"7103","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15971930-3","MANCAL DA FACA POS.3","10008514518","SIM","0","0"
"8905","ANA GABRIELA","045/24","2136","4515242598-100",NULL,"7097","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15971288","MANCAL DA FACA","10008513386","SIM","0","0"
"8906","ANA GABRIELA",NULL,"2136","4515242598-100",NULL,"7098","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15971288-1","MANCAL DA FACA POS.1","10008513386 POS.1 FOLHA 2","SIM","0","0"
"8907","ANA GABRIELA",NULL,"2136","4515242598-100",NULL,"7099","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15971288-2","MANCAL DA FACA POS.2","10008513386 POS.2 FOLHA 3","SIM","0","0"
